,Satellite Name,Latitude,Longitude,Distance from Earth Center (km),Distance from Earth Surface (km)
134,GOES-17,4.8280454,76.77546,42166.168228396215,35795.168228396215
135,GOES-18,15.802901,46.139614,42161.32274970762,35790.32274970762
136,GOES-6,15.393559,171.14684,42175.51685084431,35804.51685084431
137,GOES-7,7.7212205,78.912575,42164.21152274956,35793.21152274956
138,GOES-8,-4.032726,106.3535,42556.06884421803,36185.06884421803
139,GOES-9,-16.331705,34.794712,42570.233352819945,36199.233352819945
140,GOLD,-16.229752,130.1656,42171.16606822189,35800.16606822189
141,GOLD (Conceptual),21.672178,135.25989,42159.47995638795,35788.47995638795
142,GOSAT,-55.514053,-146.44283,7052.540576086824,681.5405760868243
143,GRACE-1,-49.24259,98.00946,6511.65268244872,140.65268244872004
145,GRACE-FO1,-69.36131,-22.08868000000001,6874.3704665984005,503.3704665984005
146,GRACE-FO2,-69.753784,-25.958950000000016,6874.595527474962,503.5955274749622
147,Hawkeye,58.30101,158.90712,35650.06848797744,29279.06848797744
148,Hinode,8.175997,101.35699,7053.61211015384,682.6121101538401
149,IBEX,3.2362132,-121.03515999999999,89982.18234760717,83611.18234760717
150,ICON,-2.4191093,-108.99737999999999,6970.135005340321,599.1350053403212
151,IMAGE,45.077663,-130.54912,19570.649891842982,13199.649891842982
152,IMP-7,20.03003,-40.16417999999999,239645.20382563557,233274.20382563557
153,IMP-8,-49.376095,-102.24009999999998,269028.20971656265,262657.20971656265
154,Interball-2 (Auroral Probe),4.272868,-105.50049000000001,9350.08481647047,2979.0848164704694
155,Interball-1 (Tail),-20.617525,-138.73085,187275.7140675255,180904.7140675255
156,IRIS,40.192543,124.486595,7002.112098045495,631.1120980454953
157,IRM (AMPTE/IRM),4.5080404,94.89021,72409.59856326955,66038.59856326955
158,ISEE-1,20.650728,141.1811,15561.758776497734,9190.758776497734
159,ISEE-2,22.05125,138.01585,16605.807409745605,10234.807409745605
161,ISIS-1,-54.968876,-103.80590000000001,7269.1275907573845,898.1275907573845
162,ISIS-2,-57.18406,-41.30437999999998,7766.113698418572,1395.1136984185723
163,ISS,23.533484,10.965038,6791.975386135776,420.9753861357758
164,ISS-b,-6.004722,32.6656,7532.626030873743,1161.6260308737428
165,JASON2,-1.3322835,45.044323,7689.8445359059015,1318.8445359059015
168,Landsat7,-7.4540205,-61.84267999999997,7075.882170961594,704.882170961594
169,Landsat8,-6.0803103,-27.639070000000004,7087.118809036034,716.1188090360338
170,Landsat9,4.868841,152.35469,7078.785702778706,707.7857027787059
171,LANL-01,-2.4382224,82.951256,42207.43159039843,35836.43159039843
172,LANL-02,-21.478977,142.49475,42209.70045912832,35838.70045912832
173,LANL-89,12.2568035,-72.61205999999999,42211.67477032916,35840.67477032916
174,LANL-90,-4.3464227,142.4082,42210.73629142869,35839.73629142869
175,LANL-91,22.434105,15.23872,42206.605366678195,35835.605366678195
176,LANL-94,18.238287,27.842316,42208.96158363624,35837.96158363624
177,LANL-97,-13.760091,-137.078,42211.92865244983,35840.92865244983
183,MetOp-B (MetOp-1),76.40322,-59.92500000000001,7192.593502916556,821.5935029165557
184,MetOp-A (MetOp-2),-27.912346,111.66963,7142.967493472947,771.9674934729474
185,Microlab1,-54.926388,128.50162,7089.21985565563,718.2198556556305
186,MIR,-26.227375,-115.01889,6703.703352578026,332.70335257802617
187,MMS 1,-15.51268,-128.1537,182065.51873546108,175694.51873546108
188,MMS 1 (5-year Predict),19.384817,87.32582,80004.48343494153,73633.48343494153
189,MMS 2,-15.519477,-128.17186,182106.20430249983,175735.20430249983
190,MMS 3,-15.516078,-128.16278,182085.88994378623,175714.88994378623
191,MMS 4,-15.522925,-128.18094,182126.08923930646,175755.08923930646
192,Moon,-4.9844184,174.58635,359978.3129557999,353607.3129557999
194,MSX,-62.633526,-94.66116,7286.926107087583,915.9261070875827
196,NOAA-10,58.077293,110.533295,7179.110272974168,808.1102729741679
197,NOAA-12,-48.733498,114.134796,7205.099461360988,834.0994613609882
198,NOAA-14,29.88697,-48.3775,7223.93705270496,852.9370527049596
199,NOAA-15,-36.44166,-58.31378000000001,7191.795090366926,820.7950903669262
200,NOAA-16,-9.759859,-28.619019999999978,7239.451766152783,868.4517661527834
201,NOAA-17,-69.73584,-81.45031999999998,7198.3692800710905,827.3692800710905
202,NOAA-18,50.91544,-21.009119999999996,7219.078550929877,848.0785509298767
203,NOAA-19,36.15915,-50.54390000000001,7228.8984088163825,857.8984088163825
204,NOAA-20,50.175217,24.667475,7202.726365313432,831.7263653134323
205,NOAA-21,-77.8815,-153.30861,7212.380288017218,841.3802880172179
206,NOAA-5,37.884888,103.74177,7890.086861124504,1519.0868611245041
207,NOAA-6,67.822365,31.29676,7186.608645685146,815.6086456851463
208,NOAA-7,23.893984,-87.52136000000002,7216.143915015435,845.1439150154347
209,NOAA-8,-43.348785,104.498924,7207.1981604912335,836.1981604912335
210,Oersted,73.57305,37.01896,7087.50755674905,716.5075567490503
211,OGO-5,34.085136,-106.54333,126192.3930061559,119821.3930061559
212,OGO-6,24.559105,73.29267,7383.166462659334,1012.1664626593338
213,Ohzora,52.19843,107.89328,6725.03683814052,354.03683814051965
215,PARASOL,11.371383,-176.75958,7032.379317423699,661.3793174236989
218,Polar,-66.76177,126.49366,56493.83107623526,50122.83107623526
220,RBSP-A,26.649315,-28.798099999999977,27227.082192039292,20856.082192039292
221,RBSP-A (1-year Predict),14.386621,135.67743,27794.261225315124,21423.261225315124
222,RBSP-B,-18.740135,-26.64794999999998,36603.19188050225,30232.19188050225
223,RBSP-B (1-year Predict),5.5004687,-148.9066,27632.0133806981,21261.0133806981
224,Reimei,80.65291,-4.4427800000000275,6969.506735301766,598.5067353017657
225,RHESSI,1.403835,-125.11989,115223.89837023472,108852.89837023472
226,ROCSAT1,10.158337,63.76256,6941.349918828027,570.3499188280266
228,SAMPEX,-13.268644,59.633953,6566.088340788921,195.0883407889214
229,SCATHA,-17.294464,101.542625,47429.264498705656,41058.264498705656
230,SDO,-21.678701,64.134026,42162.466922835,35791.466922835
231,SMILE (Concept),23.0109,-74.87130000000002,66307.4898640051,59936.489864005096
232,SNOE,27.990421,59.49612,6684.886133900505,313.88613390050523
235,SORCE,12.051041,79.39224,6987.39870109214,616.3987010921401
237,SPORT,53.92724,-19.979949999999974,6594.844806516446,223.84480651644571
238,Sputnik 1,62.825695,70.75511,6591.821660481723,220.82166048172257
239,ST5-A,-43.411495,-126.03902,9509.363416736576,3138.3634167365763
240,ST5-B,-56.437634,140.6567,7486.6392796474265,1115.6392796474265
241,ST5-C,28.107706,-77.11743000000001,10562.125724348958,4191.125724348958
245,Suomi NPP,-50.722733,-155.20428,7211.90872008835,840.9087200883496
246,Swarm A,-0.41903722,-64.24470000000002,6862.114155173581,491.1141551735809
247,Swarm B,70.32967,173.2328,6880.087306453501,509.0873064535008
248,Swarm C,64.40847,-177.74509,6846.825787992924,475.82578799292423
249,Tatiana1,22.398998,106.69373,7291.751198560088,920.7511985600877
250,Tatiana2,25.331783,-29.50479999999999,7194.90653544662,823.9065354466202
251,THEMIS-A (P5),5.1127768,-178.47527,81765.42930339051,75394.42930339051
252,THEMIS-A (8-year Predict),7.475744,-161.43956,56381.59758114978,50010.59758114978
254,THEMIS-B (6-year Predict),-5.1272936,139.48601,353578.7748095442,347207.7748095442
256,THEMIS-C (6-year Predict),-5.281778,143.78603,351374.12604491855,345003.12604491855
257,THEMIS-D (P3),0.5494852,-135.49644,83934.34360054185,77563.34360054185
258,THEMIS-D (8-year Predict),9.969561,-164.12384,63571.26333586458,57200.26333586458
259,THEMIS-E (P4),0.70124316,-174.23761,82189.12469670417,75818.12469670417
260,THEMIS-E (8-year Predict),10.464869,-161.2329,61915.29852134526,55544.29852134526
261,TIMED,71.154945,131.27284,6968.125851432723,597.1258514327228
262,TRACE,-62.215767,47.805027,6967.179915151606,596.1799151516061
263,Total_Solar_Eclipse_2017,31.524376,79.85263,6378.1399214352305,7.1399214352304625
264,Twins1,68.96789,-29.363800000000026,32517.662960965452,26146.662960965452
265,Twins2,9.4844885,-20.947850000000017,13823.892991382852,7452.892991382852
266,UARS,-38.690254,170.18578,6887.613535930314,516.6135359303144
267,Viking,-33.478497,-68.99747000000002,18187.559456111434,11816.559456111434
269,XMM-Newton,21.821041,173.41072,35954.89684695373,29583.89684695373
270,Yohkoh (Solar-A),-17.0335,144.84335,7006.335430014143,635.3354300141427
